DBN,Borough,Borough_Cnt,District,School_Num,School,Grade,Year,Category,Headcount,Lvl_1_Cnt,Lvl_1_Pct,Lvl_2_Cnt,Lvl_2_Pct,Lvl_3_Cnt,Lvl_3_Pct,Lvl_4_Cnt,Lvl_4_Pct,Lvl_Pass_Cnt,Lvl_Pass_Pct
01M064,MANHATTAN,808324,1,64,P.S. 064 ROBERT SIMON,3,2014,All Students,298,10,23.3,23,53.5,9,20.9,1,2.3,10,23.3
01M064,MANHATTAN,808324,1,64,P.S. 064 ROBERT SIMON,3,2015,All Students,302,9,22.5,18,45,8,20,5,12.5,13,32.5
01M064,MANHATTAN,808324,1,64,P.S. 064 ROBERT SIMON,3,2016,All Students,293,10,32.3,13,41.9,4,12.9,4,12.9,8,25.8
01M064,MANHATTAN,808324,1,64,P.S. 064 ROBERT SIMON,4,2013,All Students,280,20,48.8,19,46.3,2,4.9,0,0,2,4.9
01M064,MANHATTAN,808324,1,64,P.S. 064 ROBERT SIMON,4,2014,All Students,290,13,40.6,10,31.3,7,21.9,2,6.3,9,28.1
01M064,MANHATTAN,808324,1,64,P.S. 064 ROBERT SIMON,4,2015,All Students,298,10,24.4,18,43.9,9,22,4,9.8,13,31.7
01M064,MANHATTAN,808324,1,64,P.S. 064 ROBERT SIMON,4,2016,All Students,293,16,40,11,27.5,9,22.5,4,10,13,32.5
01M064,MANHATTAN,808324,1,64,P.S. 064 ROBERT SIMON,5,2013,All Students,290,18,46.2,14,35.9,5,12.8,2,5.1,7,17.9
01M064,MANHATTAN,808324,1,64,P.S. 064 ROBERT SIMON,5,2014,All Students,292,16,42.1,16,42.1,6,15.8,0,0,6,15.8
01M064,MANHATTAN,808324,1,64,P.S. 064 ROBERT SIMON,5,2015,All Students,287,22,57.9,11,28.9,4,10.5,1,2.6,5,13.2
01M064,MANHATTAN,808324,1,64,P.S. 064 ROBERT SIMON,5,2016,All Students,299,17,38.6,12,27.3,10,22.7,5,11.4,15,34.1
01M110,MANHATTAN,808324,1,110,P.S. 110 FLORENCE NIGHTINGALE,3,2013,All Students,322,10,18.5,9,16.7,19,35.2,16,29.6,35,64.8
01M110,MANHATTAN,808324,1,110,P.S. 110 FLORENCE NIGHTINGALE,3,2014,All Students,319,11,15.9,18,26.1,20,29,20,29,40,58
01M110,MANHATTAN,808324,1,110,P.S. 110 FLORENCE NIGHTINGALE,3,2015,All Students,319,9,18,10,20,14,28,17,34,31,62
01M110,MANHATTAN,808324,1,110,P.S. 110 FLORENCE NIGHTINGALE,3,2016,All Students,329,7,8.6,22,27.2,15,18.5,37,45.7,52,64.2
01M110,MANHATTAN,808324,1,110,P.S. 110 FLORENCE NIGHTINGALE,4,2013,All Students,320,7,14.6,10,20.8,16,33.3,15,31.3,31,64.6
01M110,MANHATTAN,808324,1,110,P.S. 110 FLORENCE NIGHTINGALE,4,2014,All Students,319,10,18.9,9,17,16,30.2,18,34,34,64.2
01M110,MANHATTAN,808324,1,110,P.S. 110 FLORENCE NIGHTINGALE,4,2015,All Students,326,7,10.9,17,26.6,16,25,24,37.5,40,62.5
01M110,MANHATTAN,808324,1,110,P.S. 110 FLORENCE NIGHTINGALE,4,2016,All Students,329,7,14.3,7,14.3,12,24.5,23,46.9,35,71.4
01M110,MANHATTAN,808324,1,110,P.S. 110 FLORENCE NIGHTINGALE,5,2013,All Students,324,15,23.1,18,27.7,12,18.5,20,30.8,32,49.2
01M110,MANHATTAN,808324,1,110,P.S. 110 FLORENCE NIGHTINGALE,5,2014,All Students,326,7,15.6,11,24.4,10,22.2,17,37.8,27,60
01M110,MANHATTAN,808324,1,110,P.S. 110 FLORENCE NIGHTINGALE,5,2015,All Students,330,9,17,10,18.9,10,18.9,24,45.3,34,64.2
01M110,MANHATTAN,808324,1,110,P.S. 110 FLORENCE NIGHTINGALE,5,2016,All Students,319,21,32.3,10,15.4,16,24.6,18,27.7,34,52.3
01M134,MANHATTAN,808324,1,134,P.S. 134 HENRIETTA SZOLD,3,2013,All Students,304,11,21.6,24,47.1,14,27.5,2,3.9,16,31.4
01M134,MANHATTAN,808324,1,134,P.S. 134 HENRIETTA SZOLD,3,2014,All Students,303,8,18.2,21,47.7,10,22.7,5,11.4,15,34.1
01M134,MANHATTAN,808324,1,134,P.S. 134 HENRIETTA SZOLD,3,2015,All Students,297,18,40.9,12,27.3,6,13.6,8,18.2,14,31.8
01M134,MANHATTAN,808324,1,134,P.S. 134 HENRIETTA SZOLD,3,2016,All Students,298,12,33.3,12,33.3,6,16.7,6,16.7,12,33.3
01M134,MANHATTAN,808324,1,134,P.S. 134 HENRIETTA SZOLD,4,2013,All Students,294,20,32.8,24,39.3,14,23,3,4.9,17,27.9
01M134,MANHATTAN,808324,1,134,P.S. 134 HENRIETTA SZOLD,4,2014,All Students,306,7,17.1,17,41.5,13,31.7,4,9.8,17,41.5
01M134,MANHATTAN,808324,1,134,P.S. 134 HENRIETTA SZOLD,4,2015,All Students,298,11,31.4,11,31.4,6,17.1,7,20,13,37.1
01M134,MANHATTAN,808324,1,134,P.S. 134 HENRIETTA SZOLD,4,2016,All Students,285,24,55.8,5,11.6,8,18.6,6,14,14,32.6
01M134,MANHATTAN,808324,1,134,P.S. 134 HENRIETTA SZOLD,5,2013,All Students,296,17,43.6,14,35.9,6,15.4,2,5.1,8,20.5
01M134,MANHATTAN,808324,1,134,P.S. 134 HENRIETTA SZOLD,5,2014,All Students,301,17,32.1,22,41.5,10,18.9,4,7.5,14,26.4
01M134,MANHATTAN,808324,1,134,P.S. 134 HENRIETTA SZOLD,5,2015,All Students,313,7,17.9,13,33.3,17,43.6,2,5.1,19,48.7
01M134,MANHATTAN,808324,1,134,P.S. 134 HENRIETTA SZOLD,5,2016,All Students,319,7,20.6,6,17.6,14,41.2,7,20.6,21,61.8
01M137,MANHATTAN,808324,1,137,P.S. 137 JOHN L. BERNSTEIN,3,2013,All Students,280,16,57.1,9,32.1,2,7.1,1,3.6,3,10.7
01M137,MANHATTAN,808324,1,137,P.S. 137 JOHN L. BERNSTEIN,3,2014,All Students,266,24,66.7,9,25,3,8.3,0,0,3,8.3
01M137,MANHATTAN,808324,1,137,P.S. 137 JOHN L. BERNSTEIN,3,2015,All Students,287,14,51.9,6,22.2,6,22.2,1,3.7,7,25.9
01M137,MANHATTAN,808324,1,137,P.S. 137 JOHN L. BERNSTEIN,3,2016,All Students,268,14,70,4,20,2,10,0,0,2,10
01M137,MANHATTAN,808324,1,137,P.S. 137 JOHN L. BERNSTEIN,4,2013,All Students,270,15,62.5,8,33.3,1,4.2,0,0,1,4.2
01M137,MANHATTAN,808324,1,137,P.S. 137 JOHN L. BERNSTEIN,4,2014,All Students,280,16,61.5,6,23.1,2,7.7,2,7.7,4,15.4
01M137,MANHATTAN,808324,1,137,P.S. 137 JOHN L. BERNSTEIN,4,2015,All Students,269,24,68.6,9,25.7,2,5.7,0,0,2,5.7
01M137,MANHATTAN,808324,1,137,P.S. 137 JOHN L. BERNSTEIN,4,2016,All Students,278,14,60.9,3,13,4,17.4,2,8.7,6,26.1
01M137,MANHATTAN,808324,1,137,P.S. 137 JOHN L. BERNSTEIN,5,2013,All Students,278,16,69.6,7,30.4,0,0,0,0,0,0
01M137,MANHATTAN,808324,1,137,P.S. 137 JOHN L. BERNSTEIN,5,2014,All Students,270,14,60.9,8,34.8,1,4.3,0,0,1,4.3
01M137,MANHATTAN,808324,1,137,P.S. 137 JOHN L. BERNSTEIN,5,2015,All Students,295,15,65.2,3,13,3,13,2,8.7,5,21.7
01M137,MANHATTAN,808324,1,137,P.S. 137 JOHN L. BERNSTEIN,5,2016,All Students,267,20,66.7,8,26.7,2,6.7,0,0,2,6.7
01M140,MANHATTAN,808324,1,140,P.S. 140 NATHAN STRAUS,3,2013,All Students,273,18,58.1,12,38.7,1,3.2,0,0,1,3.2
01M140,MANHATTAN,808324,1,140,P.S. 140 NATHAN STRAUS,3,2014,All Students,270,19,73.1,6,23.1,1,3.8,0,0,1,3.8
01M140,MANHATTAN,808324,1,140,P.S. 140 NATHAN STRAUS,3,2015,All Students,275,15,50,10,33.3,5,16.7,0,0,5,16.7
01M140,MANHATTAN,808324,1,140,P.S. 140 NATHAN STRAUS,3,2016,All Students,275,17,60.7,9,32.1,2,7.1,0,0,2,7.1
01M140,MANHATTAN,808324,1,140,P.S. 140 NATHAN STRAUS,4,2013,All Students,282,14,56,10,40,0,0,1,4,1,4
01M140,MANHATTAN,808324,1,140,P.S. 140 NATHAN STRAUS,4,2014,All Students,289,9,29,16,51.6,6,19.4,0,0,6,19.4
01M140,MANHATTAN,808324,1,140,P.S. 140 NATHAN STRAUS,4,2015,All Students,276,13,54.2,7,29.2,3,12.5,1,4.2,4,16.7
01M140,MANHATTAN,808324,1,140,P.S. 140 NATHAN STRAUS,4,2016,All Students,278,16,50,12,37.5,3,9.4,1,3.1,4,12.5
01M140,MANHATTAN,808324,1,140,P.S. 140 NATHAN STRAUS,5,2013,All Students,261,23,92,2,8,0,0,0,0,0,0
01M140,MANHATTAN,808324,1,140,P.S. 140 NATHAN STRAUS,5,2014,All Students,281,17,70.8,5,20.8,2,8.3,0,0,2,8.3
01M140,MANHATTAN,808324,1,140,P.S. 140 NATHAN STRAUS,5,2015,All Students,306,4,16,14,56,6,24,1,4,7,28
01M140,MANHATTAN,808324,1,140,P.S. 140 NATHAN STRAUS,5,2016,All Students,286,13,61.9,5,23.8,3,14.3,0,0,3,14.3
01M140,MANHATTAN,808324,1,140,P.S. 140 NATHAN STRAUS,6,2013,All Students,291,22,37.9,26,44.8,9,15.5,1,1.7,10,17.2
01M140,MANHATTAN,808324,1,140,P.S. 140 NATHAN STRAUS,6,2014,All Students,291,23,39.7,19,32.8,14,24.1,2,3.4,16,27.6
01M140,MANHATTAN,808324,1,140,P.S. 140 NATHAN STRAUS,6,2015,All Students,290,20,40,22,44,5,10,3,6,8,16
01M140,MANHATTAN,808324,1,140,P.S. 140 NATHAN STRAUS,6,2016,All Students,302,11,19.6,27,48.2,13,23.2,5,8.9,18,32.1
01M140,MANHATTAN,808324,1,140,P.S. 140 NATHAN STRAUS,7,2013,All Students,278,44,69.8,15,23.8,4,6.3,0,0,4,6.3
01M140,MANHATTAN,808324,1,140,P.S. 140 NATHAN STRAUS,7,2014,All Students,291,26,45.6,22,38.6,8,14,1,1.8,9,15.8
01M140,MANHATTAN,808324,1,140,P.S. 140 NATHAN STRAUS,7,2015,All Students,293,23,41.1,26,46.4,6,10.7,1,1.8,7,12.5
01M140,MANHATTAN,808324,1,140,P.S. 140 NATHAN STRAUS,7,2016,All Students,283,25,54.3,17,37,3,6.5,1,2.2,4,8.7
01M140,MANHATTAN,808324,1,140,P.S. 140 NATHAN STRAUS,8,2013,All Students,282,30,57.7,19,36.5,3,5.8,0,0,3,5.8
01M140,MANHATTAN,808324,1,140,P.S. 140 NATHAN STRAUS,8,2014,All Students,280,37,60.7,17,27.9,5,8.2,2,3.3,7,11.5
01M140,MANHATTAN,808324,1,140,P.S. 140 NATHAN STRAUS,8,2015,All Students,285,28,48.3,26,44.8,4,6.9,0,0,4,6.9
01M140,MANHATTAN,808324,1,140,P.S. 140 NATHAN STRAUS,8,2016,All Students,282,30,49.2,23,37.7,6,9.8,2,3.3,8,13.1
01M142,MANHATTAN,808324,1,142,P.S. 142 AMALIA CASTRO,3,2013,All Students,303,14,24.1,23,39.7,13,22.4,8,13.8,21,36.2
01M142,MANHATTAN,808324,1,142,P.S. 142 AMALIA CASTRO,3,2014,All Students,287,25,54.3,11,23.9,9,19.6,1,2.2,10,21.7
01M142,MANHATTAN,808324,1,142,P.S. 142 AMALIA CASTRO,3,2015,All Students,289,25,41,20,32.8,14,23,2,3.3,16,26.2
01M142,MANHATTAN,808324,1,142,P.S. 142 AMALIA CASTRO,3,2016,All Students,291,12,31.6,18,47.4,7,18.4,1,2.6,8,21.1
01M142,MANHATTAN,808324,1,142,P.S. 142 AMALIA CASTRO,4,2013,All Students,289,19,35.2,26,48.1,9,16.7,0,0,9,16.7
01M142,MANHATTAN,808324,1,142,P.S. 142 AMALIA CASTRO,4,2014,All Students,286,26,44.8,22,37.9,7,12.1,3,5.2,10,17.2
01M142,MANHATTAN,808324,1,142,P.S. 142 AMALIA CASTRO,4,2015,All Students,271,28,58.3,15,31.3,4,8.3,1,2.1,5,10.4
01M142,MANHATTAN,808324,1,142,P.S. 142 AMALIA CASTRO,4,2016,All Students,287,26,47.3,20,36.4,7,12.7,2,3.6,9,16.4
01M142,MANHATTAN,808324,1,142,P.S. 142 AMALIA CASTRO,5,2013,All Students,282,36,65.5,14,25.5,4,7.3,1,1.8,5,9.1
01M142,MANHATTAN,808324,1,142,P.S. 142 AMALIA CASTRO,5,2014,All Students,302,16,31.4,22,43.1,10,19.6,3,5.9,13,25.5
01M142,MANHATTAN,808324,1,142,P.S. 142 AMALIA CASTRO,5,2015,All Students,293,25,44.6,18,32.1,10,17.9,3,5.4,13,23.2
01M142,MANHATTAN,808324,1,142,P.S. 142 AMALIA CASTRO,5,2016,All Students,295,19,40.4,18,38.3,9,19.1,1,2.1,10,21.3
01M184,MANHATTAN,808324,1,184,P.S. 184M SHUANG WEN,3,2013,All Students,323,8,9.9,18,22.2,31,38.3,24,29.6,55,67.9
01M184,MANHATTAN,808324,1,184,P.S. 184M SHUANG WEN,3,2014,All Students,334,1,1.4,12,16.7,29,40.3,30,41.7,59,81.9
01M184,MANHATTAN,808324,1,184,P.S. 184M SHUANG WEN,3,2015,All Students,332,4,5.9,8,11.8,29,42.6,27,39.7,56,82.4
01M184,MANHATTAN,808324,1,184,P.S. 184M SHUANG WEN,3,2016,All Students,349,1,1.7,6,10.2,12,20.3,40,67.8,52,88.1
01M184,MANHATTAN,808324,1,184,P.S. 184M SHUANG WEN,4,2013,All Students,335,1,1.4,12,16.9,29,40.8,29,40.8,58,81.7
01M184,MANHATTAN,808324,1,184,P.S. 184M SHUANG WEN,4,2014,All Students,344,3,3.6,9,10.8,24,28.9,47,56.6,71,85.5
01M184,MANHATTAN,808324,1,184,P.S. 184M SHUANG WEN,4,2015,All Students,339,0,0,11,16.2,25,36.8,32,47.1,57,83.8
01M184,MANHATTAN,808324,1,184,P.S. 184M SHUANG WEN,4,2016,All Students,339,4,6.6,5,8.2,20,32.8,32,52.5,52,85.2
01M184,MANHATTAN,808324,1,184,P.S. 184M SHUANG WEN,5,2013,All Students,342,2,3.6,10,17.9,20,35.7,24,42.9,44,78.6
01M184,MANHATTAN,808324,1,184,P.S. 184M SHUANG WEN,5,2014,All Students,339,4,6.5,13,21,19,30.6,26,41.9,45,72.6
01M184,MANHATTAN,808324,1,184,P.S. 184M SHUANG WEN,5,2015,All Students,353,2,2.6,3,3.9,30,39.5,41,53.9,71,93.4
01M184,MANHATTAN,808324,1,184,P.S. 184M SHUANG WEN,5,2016,All Students,352,0,0,10,15.4,13,20,42,64.6,55,84.6
01M184,MANHATTAN,808324,1,184,P.S. 184M SHUANG WEN,6,2013,All Students,346,1,1.8,7,12.3,8,14,41,71.9,49,86
